_id,CoordXAval,CoordYAval
665992d1c4de9b0113c1c2ee,945911,6400177
665992d1c4de9b0113c1c2f1,912014,6416397
665992d1c4de9b0113c1c2f4,937383,6450314
665992d1c4de9b0113c1c2f5,949236,6434386
665992d1c4de9b0113c1c2f6,949236,6434386
665992d1c4de9b0113c1c2f7,949236,6434386
665992d1c4de9b0113c1c2fc,897507,6469311
665992d1c4de9b0113c1c2fe,990194,6432378
665992d1c4de9b0113c1c2ff,999092,6387445
665992d1c4de9b0113c1c301,999092,6387445
665992d1c4de9b0113c1c302,997268,6408804
665992d1c4de9b0113c1c303,997268,6408804
665992d1c4de9b0113c1c305,940640,6357591
665992d1c4de9b0113c1c307,915864,6375193
665992d1c4de9b0113c1c30d,960235,6356813
665992d1c4de9b0113c1c30e,929202,6297169
665992d1c4de9b0113c1c30f,929202,6297169
665992d1c4de9b0113c1c311,872861,6308751
665992d1c4de9b0113c1c315,612407,6148209
665992d1c4de9b0113c1c31d,690418,6161265
665992d1c4de9b0113c1c322,678004,6176643
665992d1c4de9b0113c1c323,678004,6176643
665992d1c4de9b0113c1c324,678004,6176643
665992d1c4de9b0113c1c325,678004,6176643
665992d1c4de9b0113c1c333,754201,6322073
665992d1c4de9b0113c1c334,754201,6322073
665992d1c4de9b0113c1c335,748417,6332221
665992d1c4de9b0113c1c339,710549,6291563
665992d1c4de9b0113c1c33a,710549,6291563
665992d1c4de9b0113c1c342,780749,6311957
665992d1c4de9b0113c1c343,780749,6311957
665992d1c4de9b0113c1c349,895359,6244403
665992d1c4de9b0113c1c352,1026528,6297112
665992d1c4de9b0113c1c357,1224810,6177959
665992d1c4de9b0113c1c358,1224810,6177959
665992d1c4de9b0113c1c368,1229659,6141203
665992d1c4de9b0113c1c36a,1227703,6125025
665992d1c4de9b0113c1c36b,1227703,6125025
665992d1c4de9b0113c1c36c,1216993,6132000
665992d1c4de9b0113c1c387,926405,6911603
665992d1c4de9b0113c1c38a,919836,6908567
665992d1c4de9b0113c1c3b2,907360,6588171
665992d1c4de9b0113c1c3bf,653277,1775898
665992d1c4de9b0113c1c3d5,649840,1789850
665992d1c4de9b0113c1c3d6,646772,1787283
665992d1c4de9b0113c1c3d8,634630,1770790
665992d1c4de9b0113c1c3db,632630,1775915
665992d1c4de9b0113c1c3dc,632630,1775915
665992d1c4de9b0113c1c3dd,636348,1778951
665992d1c4de9b0113c1c3de,636348,1778951
665992d1c4de9b0113c1c3fb,562302.21,6201259.2
665992d1c4de9b0113c1c3fe,515467.12,6198036.99
665992d1c4de9b0113c1c400,506803.87,6203890.97
665992d1c4de9b0113c1c403,534696.5,6230857.5
665992d1c4de9b0113c1c407,693822.09,6330093.31
665992d1c4de9b0113c1c40b,739575.4,6359465.5
665992d1c4de9b0113c1c40c,739575.4,6359465.5
665992d1c4de9b0113c1c40d,493390.41,6221922.91
665992d1c4de9b0113c1c40e,493390.41,6221922.91
665992d1c4de9b0113c1c410,736289.3,6375853
665992d1c4de9b0113c1c413,715834.5,6371610
665992d1c4de9b0113c1c425,559913,6257750
665992d1c4de9b0113c1c426,546926.23,6232038.78
665992d1c4de9b0113c1c429,567457.66,6221951.1
665992d1c4de9b0113c1c42a,567457.66,6221951.1
665992d1c4de9b0113c1c42f,543142.88,6243649.58
665992d1c4de9b0113c1c430,543142.88,6243649.58
665992d1c4de9b0113c1c433,602850.34,6181492.09
665992d1c4de9b0113c1c434,602850.34,6181492.09
665992d1c4de9b0113c1c435,602850.34,6181492.09
665992d1c4de9b0113c1c439,597524.24,6223449.81
665992d1c4de9b0113c1c43a,597524.24,6223449.81
665992d1c4de9b0113c1c43b,597178.25,6234242
665992d1c4de9b0113c1c43c,589011.32,6243957.41
665992d1c4de9b0113c1c43d,615700.44,6206662.5
665992d1c4de9b0113c1c43e,526318.87,6260486.52
665992d1c4de9b0113c1c450,568874.3,6278884.83
665992d1c4de9b0113c1c455,569639.08,6295803.57
665992d1c4de9b0113c1c456,569639.08,6295803.57
665992d1c4de9b0113c1c458,526318.87,6260486.52
665992d1c4de9b0113c1c459,559641.25,6295596.22
665992d1c4de9b0113c1c475,739362.1,6330826.5
665992d1c4de9b0113c1c476,711067.1,6334284.54
665992d1c4de9b0113c1c477,711067.1,6334284.54
665992d1c4de9b0113c1c479,697111.73,6326398.77
665992d1c4de9b0113c1c47c,676025.98,6320750.05
665992d1c4de9b0113c1c47d,676025.98,6320750.05
665992d1c4de9b0113c1c480,686982.18,6317163.99
665992d1c4de9b0113c1c48d,675638.7,6278672.5
665992d1c4de9b0113c1c48f,675638.7,6278672.5
665992d1c4de9b0113c1c491,657942,6282405.1
665992d1c4de9b0113c1c498,652972.8,6286956.8
665992d1c4de9b0113c1c499,652972.8,6286956.8
665992d1c4de9b0113c1c49e,656844.98,6265522.65
665992d1c4de9b0113c1c4a5,627901.76,6278177.93
665992d1c4de9b0113c1c4aa,644921.11,6296576.46
665992d1c4de9b0113c1c4ac,620168.96,6354517.37
665992d1c4de9b0113c1c4ad,620168.96,6354517.37
665992d1c4de9b0113c1c4af,642234.3,6363896.7
665992d1c4de9b0113c1c4b4,624547.28,6341907.35
